first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Aboubakar,Kamara,3,0,28,688,17,149.5,150,244,2,82,53.1,1,0,2,5.5,45,Aboubakar,Kamara,189
Ben,Hamer,0,0,9,552,21,0,158,0,0,98,15.7,0,0,0,5.6,39,Ben,Hamer,190
Jonas,Lössl,0,0,88,2507,46,30.3,661.4,4,6,483,69.4,5,0,0,1.6,44,Jonas,Lössl,191
Christopher,Schindler,1,1,71,2900,63,35.7,583.8,162,7,465,78.4,5,1,4,2.2,42,Christopher,Schindler,192
Chris,Löwe,0,3,43,1928,52,356.7,299,173,6,283,82.8,1,0,2,0.1,44,Chris,Löwe,193
Tommy,Smith,0,0,5,826,29,70.3,110.8,22,0,103,20.4,1,1,2,0.1,44,Tommy,Smith,194
Mathias,Jorgensen,3,1,67,2147,38,103.7,544.2,169,4,402,81.9,3,0,6,2.6,44,Mathias,Jorgensen,195
Scott,Malone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,40,Scott,Malone,196
Florent,Hadergjonaj,0,0,50,1837,36,395.7,286.8,80,1,307,76.2,4,0,1,0.1,43,Florent,Hadergjonaj,197
Terence,Kongolo,1,1,54,2356,56,135.2,501,132,3,375,76.9,4,0,4,0.2,43,Terence,Kongolo,198
Aaron,Mooy,3,1,70,2056,44,662.9,467,331,5,374,146.3,3,0,4,1,50,Aaron,Mooy,199
Rajiv,van La Parra,0,0,10,405,6,57.6,27.8,41,0,13,12.6,1,0,0,0,46,Rajiv,van La Parra,200
Jonathan,Hogg,0,1,49,2059,36,262,352.4,47,3,317,66.2,5,1,6,0.2,44,Jonathan,Hogg,201
Philip,Billing,2,0,63,2187,43,341,494.6,375,4,317,121.3,5,0,7,1.1,45,Philip,Billing,202
Tom,Ince,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Tom,Ince,203
Danny,Williams,0,0,6,94,1,11.4,8.6,1,0,12,2,1,0,1,0,45,Danny,Williams,204
Abdelhamid,Sabiri,0,0,2,48,3,0.5,4.2,2,0,6,0.7,0,0,0,0,43,Abdelhamid,Sabiri,205
Alex,Pritchard,1,0,57,1895,37,420.3,230.8,512,0,202,116.2,7,0,2,0.1,48,Alex,Pritchard,206
Ramadan,Sobhi,0,0,4,75,2,48.2,15.4,6,0,13,6.9,0,0,0,0.1,47,Ramadan,Sobhi,207
Juninho,Bacuna,1,0,32,1075,28,239.5,216.2,91,1,157,54.8,0,0,3,0.4,42,Juninho,Bacuna,208
Collin,Quaner,0,0,2,37,2,13.7,2.2,0,0,3,1.6,0,0,0,3.4,43,Collin,Quaner,209
Laurent,Depoitre,0,1,34,1058,23,124.3,51.6,381,0,40,54.8,0,0,1,0.4,51,Laurent,Depoitre,210
Steve,Mounie,2,4,64,1635,34,248,226.4,772,4,149,122.5,5,1,1,0.2,58,Steve,Mounie,211
Elias,Kachunga,0,0,26,1082,28,107.5,83.6,155,0,37,34.1,1,0,2,0.1,48,Elias,Kachunga,212
Kasper,Schmeichel,0,0,103,3060,45,0,666,4,6,535,66.8,8,0,3,5.1,50,Kasper,Schmeichel,213
Eldin,Jakupovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,Eldin,Jakupovic,214
Wes,Morgan,3,0,76,1924,28,40.1,471,293,7,365,80.5,6,2,1,2.1,46,Wes,Morgan,215
Christian,Fuchs,0,0,3,206,5,85.6,50.4,14,0,38,14.9,0,0,0,0.4,41,Christian,Fuchs,216
Danny,Simpson,0,0,11,275,4,12.5,73.4,2,0,47,8.8,1,0,0,0.2,42,Danny,Simpson,217
Yohan,Benalouane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,39,Yohan,Benalouane,218
